handshake_id,session_id,protocol,client_ip,client_port,start_time,end_time,turnaround_latency_ms,total_duration_ms,client_hello_bytes,server_hello_bytes,total_client_bytes,total_server_bytes,status
84,1,Hybrid-PQC,192.168.1.3,60503,2026-09-09T08:46:05.996542,2026-09-09T08:46:06.022917,1.016,26.375,1249,1268,1399,1268,SUCCESS
85,1,Hybrid-PQC,192.168.1.3,60504,2026-09-09T08:46:21.615961,2026-09-09T08:46:21.632645,1.319,16.684,1249,1268,1399,1268,SUCCESS
86,1,Hybrid-PQC,192.168.1.3,60505,2026-09-09T08:46:37.257023,2026-09-09T08:46:37.272098,1.133,15.075,1249,1268,1399,1268,SUCCESS
87,1,Hybrid-PQC,192.168.1.3,60506,2026-09-09T08:46:52.866666,2026-09-09T08:46:52.891446,1.120,24.780,1249,1268,1399,1268,SUCCESS
88,1,Hybrid-PQC,192.168.1.3,60507,2026-09-09T08:47:08.496312,2026-09-09T08:47:08.517987,1.088,21.675,1249,1268,1399,1268,SUCCESS
89,1,Hybrid-PQC,192.168.1.3,60508,2026-09-09T08:47:24.109128,2026-09-09T08:47:24.125706,1.104,16.578,1249,1268,1399,1268,SUCCESS
90,1,Hybrid-PQC,192.168.1.3,60509,2026-09-09T08:47:39.720705,2026-09-09T08:47:39.733885,1.493,13.180,1249,1268,1399,1268,SUCCESS
91,1,Hybrid-PQC,192.168.1.3,60510,2026-09-09T08:47:55.387268,2026-09-09T08:47:55.520775,1.299,133.507,1249,1268,1399,1268,SUCCESS
92,1,Hybrid-PQC,192.168.1.3,60511,2026-09-09T08:48:11.113597,2026-09-09T08:48:11.169778,0.907,56.181,1249,1268,1399,1268,SUCCESS
93,1,Hybrid-PQC,192.168.1.3,60512,2026-09-09T08:48:26.758609,2026-09-09T08:48:26.777327,0.982,18.718,1249,1268,1399,1268,SUCCESS
94,1,Hybrid-PQC,192.168.1.3,60513,2026-09-09T08:48:42.370822,2026-09-09T08:48:42.383317,1.223,12.495,1249,1268,1399,1268,SUCCESS
95,1,Hybrid-PQC,192.168.1.3,60514,2026-09-09T08:48:57.977946,2026-09-09T08:48:57.998262,1.158,20.316,1249,1268,1399,1268,SUCCESS
96,1,Hybrid-PQC,192.168.1.3,60515,2026-09-09T08:49:13.598137,2026-09-09T08:49:13.619585,1.144,21.448,1249,1268,1399,1268,SUCCESS
97,1,Hybrid-PQC,192.168.1.3,60516,2026-09-09T08:49:29.226084,2026-09-09T08:49:29.242834,0.777,16.750,1249,1268,1399,1268,SUCCESS
98,1,Hybrid-PQC,192.168.1.3,60517,2026-09-09T08:49:44.836173,2026-09-09T08:49:44.865495,1.435,29.322,1249,1268,1399,1268,SUCCESS
99,1,Hybrid-PQC,192.168.1.3,60518,2026-09-09T08:50:00.462919,2026-09-09T08:50:00.477808,0.989,14.889,1249,1268,1399,1268,SUCCESS
100,1,Hybrid-PQC,192.168.1.3,60519,2026-09-09T08:50:16.087490,2026-09-09T08:50:16.103379,1.312,15.889,1249,1268,1399,1268,SUCCESS
101,1,Hybrid-PQC,192.168.1.3,60520,2026-09-09T08:50:31.696422,2026-09-09T08:50:31.711540,1.277,15.118,1249,1268,1399,1268,SUCCESS
102,1,Hybrid-PQC,192.168.1.3,60521,2026-09-09T08:50:47.311447,2026-09-09T08:50:47.331286,1.133,19.839,1249,1268,1399,1268,SUCCESS
103,1,Hybrid-PQC,192.168.1.3,60522,2026-09-09T08:51:02.985094,2026-09-09T08:51:03.199846,1.755,214.752,1249,1268,1399,1268,SUCCESS
104,1,Hybrid-PQC,192.168.1.3,60523,2026-09-09T08:51:18.799481,2026-09-09T08:51:18.826286,1.055,26.805,1249,1268,1399,1268,SUCCESS
105,1,Hybrid-PQC,192.168.1.3,60524,2026-09-09T08:51:34.525091,2026-09-09T08:51:34.657281,1.091,132.190,1249,1268,1399,1268,SUCCESS
106,1,Hybrid-PQC,192.168.1.3,60525,2026-09-09T08:51:50.260934,2026-09-09T08:51:50.325439,0.937,64.505,1249,1268,1399,1268,SUCCESS
107,1,Hybrid-PQC,192.168.1.3,60526,2026-09-09T08:52:05.930290,2026-09-09T08:52:05.947499,1.171,17.209,1249,1268,1399,1268,SUCCESS
108,1,Hybrid-PQC,192.168.1.3,60527,2026-09-09T08:52:21.547650,2026-09-09T08:52:21.562063,1.100,14.413,1249,1268,1399,1268,SUCCESS
109,1,Hybrid-PQC,192.168.1.3,60528,2026-09-09T08:52:37.170201,2026-09-09T08:52:37.183843,0.895,13.642,1249,1268,1399,1268,SUCCESS
